Algorithm,Dimension,Function,Control,Control_mean,Other_mean,Control_median,Other_median,Statistic,p_value,Relation
ZOCMAES,20,3,PDABC,22127.9,433333333404860.56,22221.0,153049.0,0.0,2.8573957194873827e-11,+
ABC,20,4,PDABC,1000000000000026.9,1000000000000171.9,1000000000000027.8,1000000000000166.0,0.0,2.952404922596988e-11,+
Co-PPSO,20,4,PDABC,1000000000000026.9,1000000000000019.2,1000000000000027.8,1000000000000017.4,701.0,0.00020985524616317397,-
EA4eigN100_10,20,4,PDABC,1000000000000026.9,1000000000000008.5,1000000000000027.8,1000000000000007.0,889.0,8.526771936756891e-11,-
NL-SHADE-LBC,20,4,PDABC,1000000000000026.9,1000000000000004.6,1000000000000027.8,1000000000000005.0,900.0,2.58392826800925e-11,-
NL-SHADE-RSP-MID,20,4,PDABC,1000000000000026.9,1000000000000027.8,1000000000000027.8,1000000000000026.9,441.0,0.899920323136667,=
NLSOMACLP,20,4,PDABC,1000000000000026.9,1000000000000029.9,1000000000000027.8,1000000000000028.9,400.0,0.46396854187298264,=
S_LSHADE_DP,20,4,PDABC,1000000000000026.9,1000000000000013.6,1000000000000027.8,1000000000000012.5,861.0,1.2503564577757053e-09,-
ZOCMAES,20,4,PDABC,1000000000000026.9,1000000000000020.8,1000000000000027.8,1000000000000017.9,661.0,0.001844992452406834,-
ABC,20,5,PDABC,232688.7,1000000000000003.5,226710.5,1000000000000003.5,0.0,2.978472128053608e-11,+
Co-PPSO,20,5,PDABC,232688.7,600000000081936.4,226710.5,1000000000000000.1,228.0,0.0010298698676064753,+
EA4eigN100_10,20,5,PDABC,232688.7,158490.0,226710.5,158490.0,900.0,1.2117803970059759e-12,-
NL-SHADE-LBC,20,5,PDABC,232688.7,79836.36666666667,226710.5,79965.5,900.0,3.019859359162157e-11,-
NL-SHADE-RSP-MID,20,5,PDABC,232688.7,1000000000000147.2,226710.5,1000000000000139.1,0.0,3.019859359162157e-11,+
NLSOMACLP,20,5,PDABC,232688.7,433333333563678.7,226710.5,473395.5,0.0,2.6269452026848432e-11,+
S_LSHADE_DP,20,5,PDABC,232688.7,33333333856738.836,226710.5,541357.5,0.0,3.019859359162157e-11,+
ZOCMAES,20,5,PDABC,232688.7,66666666712926.734,226710.5,44750.5,840.0,8.48477290014798e-09,+
ABC,20,6,PDABC,1000000000005541.1,1000000000022788.4,1000000000005280.8,1000000000022671.5,0.0,3.019859359162157e-11,+
Co-PPSO,20,6,PDABC,1000000000005541.1,1000000000005589.2,1000000000005280.8,1000000000003914.6,519.0,0.31118764341027494,=
EA4eigN100_10,20,6,PDABC,1000000000005541.1,1000000000000000.0,1000000000005280.8,1000000000000000.1,900.0,1.0914713902274894e-11,-
NL-SHADE-LBC,20,6,PDABC,1000000000005541.1,1000000000000000.5,1000000000005280.8,1000000000000000.5,900.0,2.587214289768214e-11,-
NL-SHADE-RSP-MID,20,6,PDABC,1000000000005541.1,1000000000000006.2,1000000000005280.8,1000000000000004.5,900.0,3.017966798490446e-11,-
NLSOMACLP,20,6,PDABC,1000000000005541.1,1000000000000041.1,1000000000005280.8,1000000000000038.9,900.0,3.019859359162157e-11,-
S_LSHADE_DP,20,6,PDABC,1000000000005541.1,1000000000000002.1,1000000000005280.8,1000000000000001.4,900.0,2.922868803553991e-11,-
ZOCMAES,20,6,PDABC,1000000000005541.1,1000000000000041.6,1000000000005280.8,1000000000000038.1,900.0,3.008520215091029e-11,-
ABC,20,7,PDABC,6774.366666666667,5607.966666666666,6313.0,4846.5,542.0,0.1761275454839878,=
Co-PPSO,20,7,PDABC,6774.366666666667,1000000000000029.8,6313.0,1000000000000026.8,0.0,3.016075319890922e-11,+
EA4eigN100_10,20,7,PDABC,6774.366666666667,966666666700003.6,6313.0,1000000000000002.2,0.0,2.9561160210067515e-11,+
NL-SHADE-LBC,20,7,PDABC,6774.366666666667,1000000000000002.4,6313.0,1000000000000000.5,0.0,2.706369119995905e-11,+
NL-SHADE-RSP-MID,20,7,PDABC,6774.366666666667,1000000000000011.6,6313.0,1000000000000007.2,0.0,2.993461776053235e-11,+
NLSOMACLP,20,7,PDABC,6774.366666666667,1000000000000008.2,6313.0,1000000000000004.5,0.0,3.004749140670014e-11,+
S_LSHADE_DP,20,7,PDABC,6774.366666666667,966666666692688.4,6313.0,1000000000000019.8,0.0,2.950550967787438e-11,+
ZOCMAES,20,7,PDABC,6774.366666666667,1000000000000095.4,6313.0,1000000000000101.6,0.0,3.019859359162157e-11,+
ABC,20,8,PDABC,66666666812842.164,166666666838149.78,145464.0,230163.5,386.0,0.3478277829758114,=
Co-PPSO,20,8,PDABC,66666666812842.164,1000000000000021.6,145464.0,1000000000000021.5,48.0,2.8879384725598257e-09,+
EA4eigN100_10,20,8,PDABC,66666666812842.164,1000000000000016.5,145464.0,1000000000000020.2,60.0,7.96090545817751e-09,+
NL-SHADE-LBC,20,8,PDABC,66666666812842.164,1000000000000016.4,145464.0,1000000000000020.5,60.0,8.281903364651416e-09,+
NL-SHADE-RSP-MID,20,8,PDABC,66666666812842.164,1000000000000020.0,145464.0,1000000000000020.2,60.0,6.572797472090972e-09,+
NLSOMACLP,20,8,PDABC,66666666812842.164,1000000000000020.6,145464.0,1000000000000020.9,59.5,7.956677963962182e-09,+
S_LSHADE_DP,20,8,PDABC,66666666812842.164,1000000000000018.5,145464.0,1000000000000020.8,60.0,7.713561821195638e-09,+
ZOCMAES,20,8,PDABC,66666666812842.164,1000000000000054.6,145464.0,1000000000000023.4,20.5,2.247491142273757e-10,+
ABC,20,9,PDABC,966666666681363.5,1000000000000335.9,1000000000000335.6,1000000000000335.9,14.5,4.8145223523675554e-12,+
Co-PPSO,20,9,PDABC,966666666681363.5,1000000000000180.2,1000000000000335.6,1000000000000180.2,870.0,3.720832448087689e-11,+
EA4eigN100_10,20,9,PDABC,966666666681363.5,1000000000000165.1,1000000000000335.6,1000000000000165.4,870.0,1.216007469292752e-12,+
NL-SHADE-LBC,20,9,PDABC,966666666681363.5,1000000000000180.5,1000000000000335.6,1000000000000180.8,870.0,1.216007469292752e-12,+
NL-SHADE-RSP-MID,20,9,PDABC,966666666681363.5,1000000000000180.5,1000000000000335.6,1000000000000180.8,870.0,1.216007469292752e-12,+
NLSOMACLP,20,9,PDABC,966666666681363.5,1000000000000180.5,1000000000000335.6,1000000000000180.8,870.0,1.216007469292752e-12,+
S_LSHADE_DP,20,9,PDABC,966666666681363.5,1000000000000180.5,1000000000000335.6,1000000000000180.8,870.0,1.216007469292752e-12,+
ZOCMAES,20,9,PDABC,966666666681363.5,1000000000000180.5,1000000000000335.6,1000000000000180.8,870.0,1.216007469292752e-12,+
ABC,20,10,PDABC,3867.0,1601.1333333333334,3196.0,1483.5,810.0,1.0661353476978294e-07,-
Co-PPSO,20,10,PDABC,3867.0,1000000000000117.4,3196.0,1000000000000100.4,0.0,2.0937560507522918e-11,+
EA4eigN100_10,20,10,PDABC,3867.0,1000000000000108.2,3196.0,1000000000000100.2,0.0,3.157822271992508e-12,+
NL-SHADE-LBC,20,10,PDABC,3867.0,1000000000000100.2,3196.0,1000000000000100.1,0.0,1.4049492963438054e-11,+
NL-SHADE-RSP-MID,20,10,PDABC,3867.0,66666666802928.03,3196.0,143152.0,0.0,3.016075319890922e-11,+
NLSOMACLP,20,10,PDABC,3867.0,1000000000000000.2,3196.0,1000000000000000.2,0.0,1.7522784242462518e-11,+
S_LSHADE_DP,20,10,PDABC,3867.0,154735.46666666667,3196.0,153200.5,0.0,3.017966798490446e-11,+
ZOCMAES,20,10,PDABC,3867.0,1000000000000734.1,3196.0,1000000000000100.8,0.0,2.7879789047512478e-11,+
ABC,20,11,PDABC,59073.73333333333,136876.06666666668,58480.5,119745.5,0.0,3.019859359162157e-11,+
Co-PPSO,20,11,PDABC,59073.73333333333,933333333350392.5,58480.5,1000000000000300.0,0.0,1.4488452648547692e-11,+
EA4eigN100_10,20,11,PDABC,59073.73333333333,1000000000000323.4,58480.5,1000000000000300.0,0.0,7.574066435137388e-12,+
NL-SHADE-LBC,20,11,PDABC,59073.73333333333,1000000000000303.4,58480.5,1000000000000300.0,0.0,1.7202510031315483e-12,+
NL-SHADE-RSP-MID,20,11,PDABC,59073.73333333333,600000000178769.1,58480.5,1000000000000150.0,0.0,2.1087103535836724e-11,+
NLSOMACLP,20,11,PDABC,59073.73333333333,200000000597255.0,58480.5,804430.5,0.0,3.000982378980083e-11,+
S_LSHADE_DP,20,11,PDABC,59073.73333333333,100000000442431.03,58480.5,534171.0,0.0,3.0122956066832855e-11,+
ZOCMAES,20,11,PDABC,59073.73333333333,966666666671217.9,58480.5,1000000000000300.0,0.0,3.157822271992508e-12,+
ABC,20,12,PDABC,900000000084092.5,65507.36666666667,1000000000000150.6,33355.5,900.0,3.017966798490446e-11,-
Co-PPSO,20,12,PDABC,900000000084092.5,1000000000000196.4,1000000000000150.6,1000000000000196.2,0.0,2.9859583708698266e-11,+
EA4eigN100_10,20,12,PDABC,900000000084092.5,1000000000000199.6,1000000000000150.6,1000000000000200.0,3.0,2.4091159090786136e-12,+
NL-SHADE-LBC,20,12,PDABC,900000000084092.5,1000000000000239.1,1000000000000150.6,1000000000000239.2,0.0,3.0141849228072565e-11,+
NL-SHADE-RSP-MID,20,12,PDABC,900000000084092.5,1000000000000243.4,1000000000000150.6,1000000000000243.2,0.0,3.006634138511715e-11,+
NLSOMACLP,20,12,PDABC,900000000084092.5,1000000000000236.5,1000000000000150.6,1000000000000236.1,0.0,3.008520215091029e-11,+
S_LSHADE_DP,20,12,PDABC,900000000084092.5,1000000000000233.8,1000000000000150.6,1000000000000232.8,0.0,3.000982378980083e-11,+
ZOCMAES,20,12,PDABC,900000000084092.5,1000000000000248.2,1000000000000150.6,1000000000000247.0,0.0,3.008520215091029e-11,+
