Dimension,Function,Algorithm_A,Algorithm_B,Score_A,Score_B,Score_Sum
10,7,EA4eigN100_10,NL-SHADE-LBC,30.0,870.0,900.0
10,7,EA4eigN100_10,S_LSHADE_DP,30.0,870.0,900.0
10,7,EA4eigN100_10,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,7,EA4eigN100_10,Co-PPSO,900.0,0.0,900.0
10,7,EA4eigN100_10,NLSOMACLP,91.0,809.0,900.0
10,7,NL-SHADE-LBC,S_LSHADE_DP,623.0,277.0,900.0
10,7,NL-SHADE-LBC,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,7,NL-SHADE-LBC,Co-PPSO,900.0,0.0,900.0
10,7,NL-SHADE-LBC,NLSOMACLP,93.0,807.0,900.0
10,7,S_LSHADE_DP,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,7,S_LSHADE_DP,Co-PPSO,900.0,0.0,900.0
10,7,S_LSHADE_DP,NLSOMACLP,91.0,809.0,900.0
10,7,NL-SHADE-RSP-MID,Co-PPSO,900.0,0.0,900.0
10,7,NL-SHADE-RSP-MID,NLSOMACLP,900.0,0.0,900.0
10,7,Co-PPSO,NLSOMACLP,21.0,879.0,900.0
10,8,PDABC,ABC,900.0,0.0,900.0
10,8,PDABC,ZOCMAES,877.0,23.0,900.0
10,8,PDABC,EA4eigN100_10,20.0,880.0,900.0
10,8,PDABC,NL-SHADE-LBC,3.0,897.0,900.0
10,8,PDABC,S_LSHADE_DP,194.0,706.0,900.0
10,8,PDABC,NL-SHADE-RSP-MID,233.0,667.0,900.0
10,8,PDABC,Co-PPSO,774.0,126.0,900.0
10,8,PDABC,NLSOMACLP,203.0,697.0,900.0
10,8,ABC,ZOCMAES,721.0,179.0,900.0
10,8,ABC,EA4eigN100_10,0.0,900.0,900.0
10,8,ABC,NL-SHADE-LBC,0.0,900.0,900.0
10,8,ABC,S_LSHADE_DP,0.0,900.0,900.0
10,8,ABC,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,8,ABC,Co-PPSO,577.0,323.0,900.0
10,8,ABC,NLSOMACLP,0.0,900.0,900.0
10,8,ZOCMAES,EA4eigN100_10,0.0,900.0,900.0
10,8,ZOCMAES,NL-SHADE-LBC,0.0,900.0,900.0
10,8,ZOCMAES,S_LSHADE_DP,8.0,892.0,900.0
10,8,ZOCMAES,NL-SHADE-RSP-MID,9.0,891.0,900.0
10,8,ZOCMAES,Co-PPSO,242.0,658.0,900.0
10,8,ZOCMAES,NLSOMACLP,8.0,892.0,900.0
10,8,EA4eigN100_10,NL-SHADE-LBC,387.0,513.0,900.0
10,8,EA4eigN100_10,S_LSHADE_DP,415.0,485.0,900.0
10,8,EA4eigN100_10,NL-SHADE-RSP-MID,548.0,352.0,900.0
10,8,EA4eigN100_10,Co-PPSO,877.0,23.0,900.0
10,8,EA4eigN100_10,NLSOMACLP,570.0,330.0,900.0
10,8,NL-SHADE-LBC,S_LSHADE_DP,418.0,482.0,900.0
10,8,NL-SHADE-LBC,NL-SHADE-RSP-MID,582.0,318.0,900.0
10,8,NL-SHADE-LBC,Co-PPSO,895.0,5.0,900.0
10,8,NL-SHADE-LBC,NLSOMACLP,634.0,266.0,900.0
